               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11086,              0.0152,            0.077448,           0.0046898,             0.21176,           0.0029531,           0.0004093,            0.065503,             0.01186,            0.048151,              0.0946,              0.0006,              0.0006
                   1,            0.091068,            0.019132,            0.071399,           0.0090962,             0.45652,           0.0068974,           0.0017037,            0.048121,            0.015105,            0.045918,            0.088297,           0.0012974,           0.0012974
                   2,            0.081188,            0.021791,            0.064003,           0.0089156,             0.58213,             0.02144,           0.0044939,            0.043081,            0.015447,             0.04293,            0.081992,           0.0019921,           0.0019921
                   3,            0.066179,            0.023335,            0.053614,            0.011848,                   1,            0.036453,            0.015159,            0.037715,            0.015432,            0.038585,            0.075684,            0.002684,            0.002684
                   4,            0.062009,            0.024605,            0.046709,             0.41917,              0.6087,             0.44825,             0.14498,            0.040586,            0.012169,            0.028739,            0.069373,           0.0033731,           0.0033731
                   5,            0.060406,            0.022193,            0.042021,            0.091056,             0.54911,             0.10839,            0.034034,            0.046207,            0.012428,            0.025858,            0.063059,           0.0040594,           0.0040594
                   6,            0.061172,            0.018635,            0.036504,             0.10863,             0.88205,             0.15517,            0.048645,             0.04888,            0.013051,            0.026246,            0.056743,            0.004743,            0.004743
                   7,            0.061994,             0.01821,            0.034149,             0.30194,             0.76892,             0.33435,            0.080159,            0.054954,             0.01252,            0.025923,            0.050424,           0.0054238,           0.0054238
                   8,            0.060778,            0.017736,            0.032834,             0.24722,             0.67794,             0.25237,            0.066583,            0.054036,            0.013258,            0.024634,            0.044102,           0.0061018,           0.0061018
                   9,            0.069875,            0.015305,            0.034167,            0.077461,              0.2971,            0.068905,            0.020399,            0.058012,            0.012437,            0.022898,            0.037777,            0.006777,            0.006777
                  10,            0.060892,            0.016447,            0.032215,             0.49022,             0.78663,             0.55719,              0.2521,            0.041829,            0.011176,            0.022191,             0.03145,           0.0074495,           0.0074495
                  11,            0.072659,            0.014049,            0.032126,             0.25458,             0.95048,             0.30944,            0.099563,            0.051785,            0.009529,            0.021954,            0.025119,           0.0081192,           0.0081192
                  12,            0.071619,            0.013327,            0.030982,             0.11335,             0.70293,             0.18749,            0.068967,            0.061665,           0.0094958,            0.021758,            0.018786,           0.0087862,           0.0087862
                  13,            0.072583,            0.015894,            0.032805,             0.43852,             0.92259,             0.52345,             0.20729,            0.056207,            0.010687,            0.021311,             0.01245,           0.0094503,           0.0094503
                  14,            0.074659,            0.016596,             0.03322,             0.50518,             0.97061,             0.58602,             0.42621,            0.040765,            0.010689,            0.021219,           0.0097228,           0.0097228,           0.0097228
                  15,             0.06866,            0.015927,            0.031908,             0.15019,             0.86514,             0.18524,            0.090304,            0.051875,           0.0089338,            0.021295,           0.0097228,           0.0097228,           0.0097228
                  16,            0.068597,            0.014538,            0.031248,             0.29796,             0.79549,             0.36219,            0.067705,              0.0574,           0.0081384,            0.021625,            0.009703,            0.009703,            0.009703
                  17,            0.060845,            0.016496,            0.032953,             0.18752,                   1,             0.20303,             0.07876,            0.053454,           0.0081724,            0.021388,           0.0096832,           0.0096832,           0.0096832
                  18,            0.059118,            0.015472,            0.031401,             0.21769,             0.75161,             0.37877,              0.1118,            0.049895,           0.0088882,            0.022435,           0.0096634,           0.0096634,           0.0096634
                  19,            0.060375,            0.014971,            0.031536,              0.2105,              0.5624,             0.27193,             0.11279,            0.050594,           0.0096798,            0.021762,           0.0096436,           0.0096436,           0.0096436
                  20,            0.059701,            0.013688,            0.030468,              0.2432,             0.88043,             0.32206,             0.16532,            0.045549,           0.0085413,            0.021252,           0.0096238,           0.0096238,           0.0096238
                  21,            0.053533,            0.013165,            0.030068,             0.37306,             0.94565,             0.67654,             0.49271,             0.03771,           0.0074043,            0.020601,            0.009604,            0.009604,            0.009604
                  22,            0.058173,            0.012285,             0.03115,             0.37818,             0.88802,             0.69624,             0.33302,            0.041703,            0.007229,            0.019902,           0.0095842,           0.0095842,           0.0095842
                  23,            0.050533,            0.012984,            0.029434,             0.26141,             0.83857,             0.54517,             0.18133,            0.037534,           0.0076338,            0.019182,           0.0095644,           0.0095644,           0.0095644
                  24,             0.05071,            0.013142,            0.030254,             0.46179,             0.99101,             0.71122,             0.41008,            0.028614,           0.0070948,            0.019083,           0.0095446,           0.0095446,           0.0095446
                  25,            0.044769,            0.013674,            0.030679,             0.34219,             0.94565,             0.62089,             0.29734,             0.03482,           0.0073982,            0.018953,           0.0095248,           0.0095248,           0.0095248
                  26,            0.049441,            0.012888,            0.029471,             0.39445,             0.78065,             0.42035,             0.20818,            0.033711,           0.0077461,            0.019445,            0.009505,            0.009505,            0.009505
                  27,            0.048231,            0.011842,            0.029436,             0.40266,             0.90217,             0.64699,              0.2863,            0.029702,           0.0066866,            0.017874,           0.0094852,           0.0094852,           0.0094852
                  28,            0.044634,            0.012307,            0.028994,             0.48839,             0.96739,             0.79853,               0.509,            0.034119,           0.0062356,            0.017488,           0.0094654,           0.0094654,           0.0094654
                  29,            0.045417,            0.010708,            0.029124,             0.41714,              0.8913,             0.55986,              0.2738,            0.034969,           0.0063583,            0.016667,           0.0094456,           0.0094456,           0.0094456
                  30,             0.04875,            0.011015,            0.028437,             0.82363,             0.94831,             0.93377,             0.59649,            0.025703,            0.006171,            0.015762,           0.0094258,           0.0094258,           0.0094258
                  31,            0.041245,            0.012232,            0.027887,             0.87369,              0.9656,             0.96672,             0.60051,            0.021173,           0.0060366,            0.014842,            0.009406,            0.009406,            0.009406
                  32,             0.04206,            0.010453,            0.027801,             0.45281,             0.93035,             0.71867,             0.37718,            0.030315,           0.0064945,            0.014549,           0.0093862,           0.0093862,           0.0093862
                  33,            0.042032,            0.011263,            0.025124,             0.61415,             0.94566,             0.84047,             0.58732,            0.027596,           0.0059347,            0.012964,           0.0093664,           0.0093664,           0.0093664
                  34,            0.039342,            0.010582,            0.024124,             0.54206,             0.93056,             0.73309,              0.4292,            0.028234,           0.0058933,            0.011709,           0.0093466,           0.0093466,           0.0093466
                  35,            0.045728,            0.011122,            0.023532,              0.8403,             0.93196,             0.91702,             0.48209,            0.025962,           0.0057666,            0.011405,           0.0093268,           0.0093268,           0.0093268
                  36,            0.038263,            0.010636,            0.023277,             0.60208,             0.89418,             0.78364,             0.43092,            0.029315,           0.0057834,            0.011519,            0.009307,            0.009307,            0.009307
                  37,            0.039804,            0.011532,            0.021648,             0.76043,             0.93519,             0.85283,             0.52061,             0.02545,           0.0055972,             0.01141,           0.0092872,           0.0092872,           0.0092872
                  38,            0.039484,            0.011568,            0.020228,             0.84564,             0.91047,             0.88653,             0.56917,            0.023599,             0.00532,            0.012675,           0.0092674,           0.0092674,           0.0092674
                  39,            0.043723,            0.010769,            0.021857,             0.81342,             0.90004,             0.89591,             0.47947,             0.03163,           0.0053475,            0.013312,           0.0092476,           0.0092476,           0.0092476
                  40,             0.03751,           0.0098683,             0.01747,             0.62369,             0.83172,             0.79186,               0.413,            0.032271,            0.005702,            0.011665,           0.0092278,           0.0092278,           0.0092278
                  41,            0.038044,            0.010807,            0.019891,             0.82144,             0.82034,             0.82691,             0.44155,            0.025823,           0.0052513,            0.015792,            0.009208,            0.009208,            0.009208
                  42,            0.036875,            0.010209,            0.015719,             0.58301,             0.85185,             0.70033,             0.43456,            0.027925,            0.005158,            0.013761,           0.0091882,           0.0091882,           0.0091882
                  43,            0.036213,            0.010603,            0.018837,             0.54797,               0.938,              0.8724,             0.55524,            0.024058,           0.0049988,           0.0062531,           0.0091684,           0.0091684,           0.0091684
                  44,            0.036491,            0.010334,            0.018776,             0.76284,             0.93112,             0.95669,             0.43446,            0.027235,           0.0048355,            0.009598,           0.0091486,           0.0091486,           0.0091486
